HOME TEAM,Xavier,,,,,,,,,,,,,,,,,,,
AWAY TEAM,Howards Grove,,,,,,,,,,,,,,,,,,,
HT H1 PASSING TREE,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9,Node  10,Node 11,Node 12,Node 13,Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20
,7,8,10,,,,,,,,,,,,,,,,,
,5,2,,,,,,,,,,,,,,,,,,
,6,3,6,2,8,,,,,,,,,,,,,,,
,8,6,9,,,,,,,,,,,,,,,,,
,5,3,5,,,,,,,,,,,,,,,,,
,6,10,,,,,,,,,,,,,,,,,,
,2,6,,,,,,,,,,,,,,,,,,
,10,9,,,,,,,,,,,,,,,,,,
,8,9,,,,,,,,,,,,,,,,,,
,11,4,5,3,,,,,,,,,,,,,,,,
,5,9,7,,,,,,,,,,,,,,,,,
,6,8,,,,,,,,,,,,,,,,,,
,6,8,,,,,,,,,,,,,,,,,,
,3,10,9,,,,,,,,,,,,,,,,,
,4,2,4,,,,,,,,,,,,,,,,,
,7,9,10,8,,,,,,,,,,,,,,,,
,10,5,,,,,,,,,,,,,,,,,,
,7,9,,,,,,,,,,,,,,,,,,
,4,2,,,,,,,,,,,,,,,,,,
,8,9,,,,,,,,,,,,,,,,,,
,5,7,2,,,,,,,,,,,,,,,,,
,4,3,,,,,,,,,,,,,,,,,,
,2,4,8,,,,,,,,,,,,,,,,,
,8,11,5,4,,,,,,,,,,,,,,,,
,4,5,3,,,,,,,,,,,,,,,,,
,1,11,9,,,,,,,,,,,,,,,,,
,4,2,,,,,,,,,,,,,,,,,,
,4,7,,,,,,,,,,,,,,,,,,
,3,1,6,,,,,,,,,,,,,,,,,
,6,8,10,,,,,,,,,,,,,,,,,
,4,2,8,9,10,,,,,,,,,,,,,,,
,11,3,,,,,,,,,,,,,,,,,,
,4,3,4,5,,,,,,,,,,,,,,,,
,7,8,,,,,,,,,,,,,,,,,,
H1 COMMENTS,,,,,,,,,,,,,,,,,,,,
,HT,Shape and positioning in the midfield is all over the place – hard to tell what position each midfielder is playing,,,,,,,,,,,,,,,,,,
,HT,"Left back MIA on second goal; setup ball played into space on left flank, center back and left mid contained, but overload allowed scoring chance",,,,,,,,,,,,,,,,,,
,AT,Need to be more patient in possession – Xavier’s poor positioning in midfield is providing a lot of open space to attack if you can keep the ball for a couple passes and find the open areas.,,,,,,,,,,,,,,,,,,
HT H2 PASSING TREE,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9,Node  10,Node 11,Node 12,Node 13,Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20
,6,3,,,,,,,,,,,,,,,,,,
,4,2,,,,,,,,,,,,,,,,,,
,8,4,,,,,,,,,,,,,,,,,,
,3,8,10,8,,,,,,,,,,,,,,,,
,4,5,6,5,,,,,,,,,,,,,,,,
,7,10,,,,,,,,,,,,,,,,,,
,7,8,6,8,,,,,,,,,,,,,,,,
,4,3,,,,,,,,,,,,,,,,,,
,4,5,3,5,4,7,2,10,,,,,,,,,,,,
,4,1,2,4,,,,,,,,,,,,,,,,
,8,7,,,,,,,,,,,,,,,,,,
,8,10,,,,,,,,,,,,,,,,,,
,7,10,4,5,3,5,3,,,,,,,,,,,,,
,9,11,10,4,8,,,,,,,,,,,,,,,
,6,3,,,,,,,,,,,,,,,,,,
,6,2,4,5,,,,,,,,,,,,,,,,
,2,6,2,4,,,,,,,,,,,,,,,,
,1,2,4,5,3,10,,,,,,,,,,,,,,
,5,10,8,6,,,,,,,,,,,,,,,,
,6,2,4,8,,,,,,,,,,,,,,,,
,7,6,4,,,,,,,,,,,,,,,,,
,6,2,8,,,,,,,,,,,,,,,,,
,6,8,,,,,,,,,,,,,,,,,,
,5,6,8,10,,,,,,,,,,,,,,,,
,2,8,5,2,,,,,,,,,,,,,,,,
,6,8,,,,,,,,,,,,,,,,,,
,8,10,11,,,,,,,,,,,,,,,,,
,2,8,6,4,5,3,,,,,,,,,,,,,,
,1,4,6,,,,,,,,,,,,,,,,,
,4,1,3,,,,,,,,,,,,,,,,,
,4,2,7,,,,,,,,,,,,,,,,,
,1,2,4,,,,,,,,,,,,,,,,,
H2 COMMENTS,,,,,,,,,,,,,,,,,,,,
,HT,Midfielders abandoning their spaces to run forward en masse,,,,,,,,,,,,,,,,,,
,HT,Right stood and watched the play when the guy he was supposed to be marking scored,,,,,,,,,,,,,,,,,,
,HT,"Players out of shape, leaving large empty spaces for attack",,,,,,,,,,,,,,,,,,
