HOME TEAM,UWGB,,,,,,,,,,,,,,,,,,,
AWAY TEAM,Wright State,,,,,,,,,,,,,,,,,,,
HT H1 PASSING TREE,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9,Node  10,Node 11,Node 12,Node 13,Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20
,3,6B,11,,,,,,,,,,,,,,,,,
,11,7,,,,,,,,,,,,,,,,,,
,6B,11,,,,,,,,,,,,,,,,,,
,6A,7,,,,,,,,,,,,,,,,,,
,6A,2,6A,3,6B,,,,,,,,,,,,,,,
,10,9,6A,2,6A,5,3,,,,,,,,,,,,,
,2,7,2,9,11,9,3,6B,3,,,,,,,,,,,
,6B,6A,2,9,2,5,10,11,,,,,,,,,,,,
,6B,11,6B,10,11,6B,,,,,,,,,,,,,,
,6A,10,2,5,3,11,3,,,,,,,,,,,,,
,9,11,6A,2,9,6A,7,,,,,,,,,,,,,
,4,2,6A,2,,,,,,,,,,,,,,,,
,4,7,2,6B,10,,,,,,,,,,,,,,,
,5,3,5,,,,,,,,,,,,,,,,,
,6B,11,6B,4,10,,,,,,,,,,,,,,,
,9,2,9,6A,2,6B,11,,,,,,,,,,,,,
,9,3,6B,11,9,3,4,,,,,,,,,,,,,
,3,11,6B,4,2,,,,,,,,,,,,,,,
,6B,6A,2,,,,,,,,,,,,,,,,,
,7,2,,,,,,,,,,,,,,,,,,
,10,3,1,,,,,,,,,,,,,,,,,
,11,6B,9,2,7,2,9,7,9,7,10,6A,5,6B,10,9,10,3,10,9
,1,4,,,,,,,,,,,,,,,,,,
,9,7,9,2,9,10,7,,,,,,,,,,,,,
,6B,1,,,,,,,,,,,,,,,,,,
,7,6A,6B,,,,,,,,,,,,,,,,,
,7,2,3,11,,,,,,,,,,,,,,,,
,6B,6A,,,,,,,,,,,,,,,,,,
,6A,2,9,,,,,,,,,,,,,,,,,
,10,4,7,6A,3,10,3,10,6B,6A,5,,,,,,,,,
,3,10,,,,,,,,,,,,,,,,,,
,6B,3,6B,6A,2,10,9,,,,,,,,,,,,,
,3,11,,,,,,,,,,,,,,,,,,
,6B,3,6B,5,,,,,,,,,,,,,,,,
,5,6B,5,9,11,,,,,,,,,,,,,,,
,6B,6A,7,11,,,,,,,,,,,,,,,,
,2,10,6A,3,,,,,,,,,,,,,,,,
,3,9,,,,,,,,,,,,,,,,,,
,3,6A,2,10,3,11,10,,,,,,,,,,,,,
,7,9,2,,,,,,,,,,,,,,,,,
,5,10,7,10,7,2,6A,5,3,4,7,2,,,,,,,,
,2,9,,,,,,,,,,,,,,,,,,
,1,4,,,,,,,,,,,,,,,,,,
,4,1,,,,,,,,,,,,,,,,,,
,2,7,2,,,,,,,,,,,,,,,,,
,10,9,11,3,,,,,,,,,,,,,,,,
,6A,6B,6A,2,7,,,,,,,,,,,,,,,
,6A,2,9,,,,,,,,,,,,,,,,,
,2,3,1,3,6A,2,,,,,,,,,,,,,,
,6B,2,,,,,,,,,,,,,,,,,,
,10,11,,,,,,,,,,,,,,,,,,
H1 COMMENTS,,,,,,,,,,,,,,,,,,,,
,HT,Nice trade places play on a free kick (wide midfielder slowly moves toward middle and someone else pops out wide at the last second before the kick to receive a pass),,,,,,,,,,,,,,,,,,
,HT,Very disciplined in keeping shape on defense,,,,,,,,,,,,,,,,,,
,HT,Nice header over the goal by defender to kill an attack,,,,,,,,,,,,,,,,,,
,HT,Player at top of the box on free kicks and corners was watching for and anticipating the counter attack,,,,,,,,,,,,,,,,,,
,HT,6A and 6B midfielders constantly passing to wide defenders moving forward into space,,,,,,,,,,,,,,,,,,
,AT,Outside backs take high angle when ball is on other side for switch but get flatter in support when ball is on their side,,,,,,,,,,,,,,,,,,
AT H2 PASSING TREE,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9,Node  10,Node 11,Node 12,Node 13,Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20
,5,3,5,1,4,1,5,,,,,,,,,,,,,
