HOME TEAM,Xavier,,,,,,,,,,,,,,,,,,,
AWAY TEAM,Shawano,,,,,,,,,,,,,,,,,,,
,,10,0.35,0.7,Midfield,,,,,,,,,,,,,,,
,,7,0.95,0.9,Forward,,,,,,,,,,,,,,,
,,9,0.5,0.9,Forward,,,,,,,,,,,,,,,
,,11,0.05,0.9,Forward,,,,,,,,,,,,,,,
HT H1 PASSING TREE,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9,Node  10,Node 11,Node 12,Node 13,Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20
,6,2,6,3,8,6,,,,,,,,,,,,,,
,8,9,6,3,,,,,,,,,,,,,,,,
,11,9,8,,,,,,,,,,,,,,,,,
,8,5,2,,,,,,,,,,,,,,,,,
,4,6,,,,,,,,,,,,,,,,,,
,10,3,4,2,6,,,,,,,,,,,,,,,
,8,11,,,,,,,,,,,,,,,,,,
,6,8,,,,,,,,,,,,,,,,,,
,4,6,,,,,,,,,,,,,,,,,,
,8,10,,,,,,,,,,,,,,,,,,
,10,11,,,,,,,,,,,,,,,,,,
,9,10,,,,,,,,,,,,,,,,,,
,5,4,8,,,,,,,,,,,,,,,,,
,8,4,,,,,,,,,,,,,,,,,,
,5,4,2,4,,,,,,,,,,,,,,,,
,4,9,,,,,,,,,,,,,,,,,,
,1,8,,,,,,,,,,,,,,,,,,
,8,6,,,,,,,,,,,,,,,,,,
,8,9,10,,,,,,,,,,,,,,,,,
,10,6,5,11,8,,,,,,,,,,,,,,,
,8,9,10,6,,,,,,,,,,,,,,,,
,3,11,10,9,,,,,,,,,,,,,,,,
,8,10,11,,,,,,,,,,,,,,,,,
,2,6,2,,,,,,,,,,,,,,,,,
,6,8,4,,,,,,,,,,,,,,,,,
,7,4,5,,,,,,,,,,,,,,,,,
,6,2,9,10,8,,,,,,,,,,,,,,,
,8,3,5,6,,,,,,,,,,,,,,,,
,6,8,,,,,,,,,,,,,,,,,,
,6,9,10,,,,,,,,,,,,,,,,,
,11,3,,,,,,,,,,,,,,,,,,
,10,9,,,,,,,,,,,,,,,,,,
,2,9,,,,,,,,,,,,,,,,,,
,2,6,,,,,,,,,,,,,,,,,,
,5,3,11,9,,,,,,,,,,,,,,,,
,2,7,8,7,,,,,,,,,,,,,,,,
,4,9,,,,,,,,,,,,,,,,,,
,6,11,9,,,,,,,,,,,,,,,,,
,11,8,,,,,,,,,,,,,,,,,,
,3,5,,,,,,,,,,,,,,,,,,
,2,7,,,,,,,,,,,,,,,,,,
,1,3,,,,,,,,,,,,,,,,,,
,2,7,,,,,,,,,,,,,,,,,,
,2,6,,,,,,,,,,,,,,,,,,
,11,6,9,7,,,,,,,,,,,,,,,,
H1 COMMENTS,,,,,,,,,,,,,,,,,,,,
,HT,Senior reserves played significant amount of time (it's senior day),,,,,,,,,,,,,,,,,,
,AT,Keeper came out nicely on breakaway and prevented goal,,,,,,,,,,,,,,,,,,
,AT,Right forward (#4) is very fast,,,,,,,,,,,,,,,,,,
,AT,"Skill level is low, defensive shape in the back 4 is not very disciplined, and their attack primarily consists of playing long balls which they don't do with much accuracy",,,,,,,,,,,,,,,,,,
,HT,Very nice attacking play in the midfield,,,,,,,,,,,,,,,,,,
HT H2 PASSING TREE,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9,Node  10,Node 11,Node 12,Node 13,Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20
,7,8,,,,,,,,,,,,,,,,,,
,2,5,11,,,,,,,,,,,,,,,,,
,4,6,10,,,,,,,,,,,,,,,,,
,6,8,9,,,,,,,,,,,,,,,,,
,2,6,5,4,2,4,,,,,,,,,,,,,,
,4,5,8,2,9,,,,,,,,,,,,,,,
,6,9,6,,,,,,,,,,,,,,,,,
,8,6,8,6,8,2,,,,,,,,,,,,,,
,2,9,,,,,,,,,,,,,,,,,,
,8,9,,,,,,,,,,,,,,,,,,
,3,5,8,,,,,,,,,,,,,,,,,
,5,6,3,,,,,,,,,,,,,,,,,
,5,6,8,11,,,,,,,,,,,,,,,,
,8,6,,,,,,,,,,,,,,,,,,
,5,2,,,,,,,,,,,,,,,,,,
,6,8,2,8,,,,,,,,,,,,,,,,
,3,9,7,,,,,,,,,,,,,,,,,
,4,9,7,,,,,,,,,,,,,,,,,
,5,8,4,3,,,,,,,,,,,,,,,,
,4,8,2,7,9,6,,,,,,,,,,,,,,
,2,4,3,,,,,,,,,,,,,,,,,
,9,10,6,8,2,,,,,,,,,,,,,,,
,4,2,,,,,,,,,,,,,,,,,,
,6,1,5,6,10,,,,,,,,,,,,,,,
,10,2,,,,,,,,,,,,,,,,,,
,4,6,,,,,,,,,,,,,,,,,,
,8,10,9,,,,,,,,,,,,,,,,,
,9,10,,,,,,,,,,,,,,,,,,
,3,11,5,,,,,,,,,,,,,,,,,
,1,6,10,8,2,,,,,,,,,,,,,,,
,3,11,,,,,,,,,,,,,,,,,,
,4,6,2,10,,,,,,,,,,,,,,,,
,5,2,,,,,,,,,,,,,,,,,,
,10,11,,,,,,,,,,,,,,,,,,
,9,10,,,,,,,,,,,,,,,,,,
,7,6,,,,,,,,,,,,,,,,,,
,4,2,,,,,,,,,,,,,,,,,,
,4,10,,,,,,,,,,,,,,,,,,
,6,11,,,,,,,,,,,,,,,,,,
,3,6,4,,,,,,,,,,,,,,,,,
,6,8,,,,,,,,,,,,,,,,,,
,1,8,9,,,,,,,,,,,,,,,,,
H2 COMMENTS,,,,,,,,,,,,,,,,,,,,
,AT,Nice follow up to score goal,,,,,,,,,,,,,,,,,,
,HT,Play was getting very direct and sloppy toward the end with little build up through midfield,,,,,,,,,,,,,,,,,,
,HT,"Defense needs to handle balls in the air better (when to head, take down on chest, dribble quickly into space)",,,,,,,,,,,,,,,,,,
